dateCrawled,name,seller,offerType,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen,
3/9/2016 20:49,Mercedes_Benz_A_160_Classic_Lamellen_Dach,privat,Angebot,800,limousine,1998,manuell,102,a_klasse,150000,10,benzin,mercedes_benz,nein,3/9/2016 0:00,0,48527,3/11/2016 5:44,
3/13/2016 15:48,Volkswagen_Golf_1.4,privat,Angebot,2249,limousine,1999,manuell,75,golf,150000,6,benzin,volkswagen,nein,3/13/2016 0:00,0,41366,3/22/2016 22:15,
3/28/2016 18:39,Mitsubishi_space_wagon_N50,privat,Angebot,1600,bus,2000,manuell,150,andere,150000,5,benzin,mitsubishi,nein,3/28/2016 0:00,0,32756,4/7/2016 0:17,
3/16/2016 21:50,Seat_Marbella_0.9_Kat_TÜV_12/16,privat,Angebot,600,kleinwagen,1993,manuell,40,andere,40000,8,,seat,,3/16/2016 0:00,0,57548,4/5/2016 22:44,
3/9/2016 18:42,Verkaufe_ein_top_gepflegten_318I,privat,Angebot,8500,kombi,2008,manuell,143,3er,125000,1,benzin,bmw,nein,3/9/2016 0:00,0,26169,3/14/2016 11:16,
3/16/2016 14:52,Honda_Civic_1.6i_16V,privat,Angebot,1200,limousine,1990,manuell,110,civic,150000,12,benzin,honda,nein,3/16/2016 0:00,0,6779,4/6/2016 16:44,
3/19/2016 18:54,VW_Golf_3_Variant,privat,Angebot,300,kombi,1995,manuell,90,golf,150000,4,benzin,volkswagen,nein,3/19/2016 0:00,0,14947,3/19/2016 18:54,
3/30/2016 9:36,Daewoo_Matiz_1.0_Benziner_Bj_2004_2.Hand_TÜV_Ende_04/2016_Bastler,privat,Angebot,499,kleinwagen,2004,manuell,60,matiz,150000,3,benzin,daewoo,ja,3/30/2016 0:00,0,42329,3/30/2016 10:48,
3/11/2016 20:39,Ford_Fusion,privat,Angebot,3500,,2017,manuell,75,fusion,100000,0,benzin,ford,nein,3/11/2016 0:00,0,49424,3/21/2016 10:17,
4/3/2016 14:49,Mercedes_benz_e230_limousine_classic,privat,Angebot,3800,limousine,1995,manuell,150,e_klasse,150000,0,,mercedes_benz,nein,4/3/2016 0:00,0,65527,4/6/2016 21:45,
3/12/2016 20:49,Opel_Corsa_1.3_CDTI_DPF_Easytronic_Cosmo_Navi_Alu,privat,Angebot,2999,kleinwagen,2008,automatik,90,corsa,150000,3,diesel,opel,nein,3/12/2016 0:00,0,42929,3/12/2016 20:49,
4/5/2016 11:36,Volkswagen_New_Beetle_2.0,privat,Angebot,2999,limousine,1999,manuell,116,beetle,150000,8,benzin,volkswagen,nein,4/5/2016 0:00,0,6844,4/5/2016 12:39,
3/16/2016 17:37,Opel_Corsa_12V,privat,Angebot,550,kleinwagen,1998,manuell,54,corsa,150000,6,benzin,opel,nein,3/16/2016 0:00,0,72108,4/6/2016 23:16,
3/29/2016 23:52,Audi_A3_S_line_Sportpaket_plus,privat,Angebot,5900,limousine,2004,manuell,140,a3,150000,3,diesel,audi,nein,3/29/2016 0:00,0,74626,4/6/2016 21:18,
3/19/2016 14:59,Mitsubishi_L200_Mit_29.000km_Bj_2011,privat,Angebot,12390,suv,2011,manuell,136,andere,30000,4,diesel,mitsubishi,,3/19/2016 0:00,0,13357,4/4/2016 20:18,
3/17/2016 9:43,Porsche_Boxster_S,privat,Angebot,13500,cabrio,2000,manuell,271,boxster,125000,6,benzin,porsche,nein,3/17/2016 0:00,0,66589,4/6/2016 5:16,
3/26/2016 16:44,"Nissan_Qashqai_1.6_Panorama_AHK_Leder_Klima_17""_Alu",privat,Angebot,8450,limousine,2008,manuell,114,qashqai,125000,7,lpg,nissan,nein,3/26/2016 0:00,0,40878,4/4/2016 3:47,
4/3/2016 17:31,BMW_E46_3er_328i_Limousine_Siena_Rot_Metallic_II_mit_18_Zoll_M135,privat,Angebot,2900,limousine,1998,manuell,193,3er,150000,9,benzin,bmw,,4/3/2016 0:00,0,55127,4/7/2016 0:15,
4/6/2016 22:25,DACIA_LOGAN_DCI_1_5_DIESEL_Gruene_Umweltplakette,privat,Angebot,2250,limousine,2006,manuell,68,logan,150000,10,diesel,dacia,nein,4/6/2016 0:00,0,60385,4/6/2016 22:25,
3/11/2016 11:54,Mercedes_Benz_ML_320,privat,Angebot,6499,suv,1999,automatik,218,m_klasse,150000,11,benzin,mercedes_benz,nein,3/11/2016 0:00,0,16547,3/17/2016 18:44,
3/29/2016 1:38,Renault_Megane_Servo__Gruene_Plakette_Angemeldet_VB,privat,Angebot,0,limousine,1997,manuell,90,megane,150000,5,benzin,renault,nein,3/28/2016 0:00,0,48249,4/5/2016 15:44,
4/2/2016 14:57,Seat_Ibiza_1.4_16V_Stylance,privat,Angebot,5750,kleinwagen,2008,manuell,86,ibiza,80000,4,benzin,seat,nein,4/2/2016 0:00,0,27283,4/2/2016 15:42,
3/5/2016 15:51,Peugeot_Bipper__HDI_LKW_Zulassung,privat,Angebot,5222,bus,2009,manuell,68,,100000,2,diesel,peugeot,nein,3/5/2016 0:00,0,4177,3/14/2016 15:16,
3/12/2016 16:55,Audi_A6_2.0_TDI,privat,Angebot,7800,limousine,2005,manuell,140,a6,150000,11,diesel,audi,nein,3/12/2016 0:00,0,59556,4/1/2016 11:16,
3/17/2016 14:53,Mercedes_Benz_CL_500_7G_TRONIC_/_NIGHTVISONT/VOLL.VOLL,privat,Angebot,23900,coupe,2007,automatik,387,cl,150000,1,benzin,mercedes_benz,nein,3/17/2016 0:00,0,52076,3/23/2016 0:17,
3/5/2016 16:57,Seat_Leon_1_9_TDI_DPF_Reference,privat,Angebot,3850,limousine,2007,manuell,105,leon,150000,3,diesel,seat,nein,3/5/2016 0:00,0,66822,3/20/2016 10:48,
3/25/2016 11:53,BMW_525i_24V,privat,Angebot,2000,limousine,1995,manuell,192,5er,150000,3,benzin,bmw,nein,3/25/2016 0:00,0,41238,4/6/2016 12:45,
3/24/2016 22:43,Fiat_128_Limousine_2_tuerig,privat,Angebot,1600,limousine,1978,manuell,55,andere,100000,6,benzin,fiat,nein,3/24/2016 0:00,0,51515,3/27/2016 19:44,
3/10/2016 23:55,Volkswagen_T5_Transporter,privat,Angebot,5500,bus,2010,manuell,84,transporter,150000,3,diesel,volkswagen,nein,3/10/2016 0:00,0,80809,3/11/2016 7:45,
3/11/2016 13:37,Alfa_Romeo_147_1.9_JTD_16V_M_Jet_Progression,privat,Angebot,2400,limousine,2005,manuell,150,147,150000,5,diesel,alfa_romeo,nein,3/11/2016 0:00,0,65760,3/20/2016 12:17,
3/29/2016 19:52,Ford_Fiesta_1.4_Black_Magic,privat,Angebot,3800,kleinwagen,2008,manuell,80,fiesta,70000,6,benzin,ford,nein,3/29/2016 0:00,0,83257,4/4/2016 5:17,
3/27/2016 20:47,Audi_A3_Cabriolet_1.8_TFSI_Ambition,privat,Angebot,12900,cabrio,2008,manuell,160,a3,100000,10,benzin,audi,nein,3/27/2016 0:00,0,92334,4/5/2016 19:44,
3/12/2016 19:48,525_tds_Kombi_TÜV_neu,privat,Angebot,1500,,2018,automatik,0,5er,150000,4,diesel,bmw,nein,3/12/2016 0:00,0,33181,4/5/2016 12:21,
3/16/2016 20:40,Vw_Passat_1_8_liter,privat,Angebot,490,,2017,,90,passat,150000,2,benzin,volkswagen,nein,3/16/2016 0:00,0,41066,3/17/2016 19:18,
4/7/2016 4:36,Audi__A1_S_line,privat,Angebot,20500,limousine,2014,manuell,143,a1,30000,11,diesel,audi,nein,4/7/2016 0:00,0,85101,4/7/2016 4:36,
3/16/2016 12:39,Top_Ford_Focus..!!!!,privat,Angebot,1200,kombi,2002,manuell,116,focus,150000,12,diesel,ford,nein,3/16/2016 0:00,0,50667,3/22/2016 16:19,
3/26/2016 15:38,VW_sharan_1.9_TDI,privat,Angebot,7300,,2017,manuell,139,sharan,150000,6,,volkswagen,,3/26/2016 0:00,0,12051,4/6/2016 3:17,
3/27/2016 22:56,Sehr_gepflegter_Fiesta_2007,privat,Angebot,3750,,2018,manuell,70,fiesta,125000,9,benzin,ford,,3/27/2016 0:00,0,58509,4/6/2016 6:17,
3/8/2016 18:45,BMW_320d_touring_mit_AHK,privat,Angebot,2450,kombi,2002,manuell,150,3er,150000,2,diesel,bmw,nein,3/8/2016 0:00,0,51067,3/17/2016 21:46,
3/6/2016 12:06,Volkswagen_Transporter_251_OB1,privat,Angebot,2000,bus,1989,manuell,57,transporter,150000,3,diesel,volkswagen,nein,3/6/2016 0:00,0,65207,4/5/2016 20:47,
3/27/2016 23:51,Smart_smart_fortwo_coupe_pure_micro_hybrid_drive,privat,Angebot,4900,kleinwagen,2009,manuell,71,fortwo,40000,7,benzin,smart,nein,3/27/2016 0:00,0,97421,4/6/2016 7:45,
3/7/2016 13:31,Golf_3_BJ_1994_mit_172_000_Km_sucht_neuen_Besitzer,privat,Angebot,650,kleinwagen,1994,manuell,72,golf,150000,1,benzin,volkswagen,nein,3/7/2016 0:00,0,60329,3/10/2016 22:16,
3/14/2016 21:57,Audi_A6_Avant_2.0_TDI,privat,Angebot,8500,kombi,2007,manuell,140,a6,150000,3,diesel,audi,nein,3/14/2016 0:00,0,19061,4/6/2016 16:17,
3/5/2016 15:38,VW_POLO_9N_1_2L/5TÜRER/SCHECKH.+RECHNUNGEN/TÜV_6/17,privat,Angebot,3550,,2017,manuell,54,polo,150000,6,benzin,volkswagen,nein,3/5/2016 0:00,0,4668,4/3/2016 1:47,
3/26/2016 22:52,Bentley_Arnage_Mulliner_Green_Lable,privat,Angebot,25850,limousine,1998,automatik,380,,40000,0,,sonstige_autos,nein,3/26/2016 0:00,0,78315,4/6/2016 18:48,
3/17/2016 22:54,Audi__a5_2.0_benzin_top_zustand,privat,Angebot,14200,,2018,manuell,179,a5,150000,4,benzin,audi,nein,3/17/2016 0:00,0,80805,3/25/2016 0:18,
3/22/2016 11:49,VW_CADDY_2.0,privat,Angebot,5199,limousine,2009,manuell,0,caddy,150000,0,cng,volkswagen,,3/22/2016 0:00,0,41836,4/6/2016 0:16,
3/10/2016 11:37,Volkswagen_Polo_60_Servo_Comfortline,privat,Angebot,650,kleinwagen,1999,manuell,60,polo,150000,4,benzin,volkswagen,nein,3/10/2016 0:00,0,35287,3/12/2016 14:45,
4/4/2016 22:49,Volkswagen_Touran_1.6_TDI_DPF_BlueMotion_Technology_STYLE,privat,Angebot,17950,bus,2012,manuell,105,touran,60000,2,diesel,volkswagen,nein,4/4/2016 0:00,0,41849,4/7/2016 1:46,
3/7/2016 23:54,Mercedes_Benz_C_63_AMG_Coupe_AMG_SPEEDSHIFT_MCT,privat,Angebot,49900,coupe,2014,automatik,457,c_klasse,40000,2,benzin,mercedes_benz,nein,3/7/2016 0:00,0,78256,4/5/2016 14:17,
3/14/2016 11:58,Ford_Mondeo_2.0_TDCi_Gruene_Plakette_TÜV_Klima_Scheckheft,privat,Angebot,1500,limousine,2003,automatik,130,mondeo,150000,1,diesel,ford,nein,3/14/2016 0:00,0,12099,3/14/2016 12:43,
4/2/2016 16:47,Daewoo_Chrysler_Lacetti_1_8_L,privat,Angebot,2200,kleinwagen,2004,manuell,122,andere,80000,10,benzin,daewoo,,4/2/2016 0:00,0,55597,4/2/2016 16:47,
3/20/2016 20:54,Opel_Omega_2.2_16_V_Selection,privat,Angebot,1444,limousine,2001,manuell,144,omega,150000,10,benzin,opel,nein,3/20/2016 0:00,0,95163,4/7/2016 6:17,
3/10/2016 18:41,Daewoo_Nubira_1_6_SX,privat,Angebot,1600,limousine,2003,manuell,109,nubira,150000,12,benzin,daewoo,nein,3/10/2016 0:00,0,12055,3/13/2016 0:15,
3/13/2016 21:48,Audi_s8/a8,privat,Angebot,0,limousine,2006,automatik,0,,150000,9,diesel,audi,,3/13/2016 0:00,0,56070,3/22/2016 6:46,
4/2/2016 13:55,Kia_Magentis_2.0_SE,privat,Angebot,1000,limousine,2001,manuell,136,andere,150000,4,benzin,kia,nein,4/2/2016 0:00,0,98527,4/6/2016 12:16,
3/23/2016 16:52,Alfa_Romeo_156_Sportwagon_1.8_Twin_Spark,privat,Angebot,550,kombi,2002,manuell,140,156,150000,7,benzin,alfa_romeo,ja,3/23/2016 0:00,0,67316,4/1/2016 22:48,
3/28/2016 17:25,Ford_Mondeo_2.5l_V6_mk3_2_in_1,privat,Angebot,2600,kombi,2002,manuell,170,mondeo,150000,3,benzin,ford,ja,3/28/2016 0:00,0,56271,4/7/2016 2:15,
4/2/2016 16:39,Ford_Ka_1.2_Start_Stopp_System,privat,Angebot,5300,kleinwagen,2011,manuell,69,ka,100000,5,benzin,ford,nein,4/2/2016 0:00,0,87509,4/6/2016 15:17,
4/6/2016 18:06,Fiat_Panda_1.1_Active,privat,Angebot,2850,kleinwagen,2010,manuell,54,panda,90000,3,benzin,fiat,nein,4/6/2016 0:00,0,65929,4/6/2016 18:25,
3/22/2016 14:46,VW_PASSAT_TOP_GEPFLEGT,privat,Angebot,950,kombi,1998,,0,,150000,4,benzin,volkswagen,nein,3/22/2016 0:00,0,13409,3/28/2016 4:16,
3/25/2016 10:57,FORD_FIESTA_1.4_TDCI,privat,Angebot,3800,kleinwagen,2006,manuell,0,fiesta,150000,9,diesel,ford,,3/25/2016 0:00,0,45881,4/6/2016 11:45,
3/25/2016 18:43,Suche_Autos_ab_2003_Ohne_Tuev_guenstig,privat,Angebot,0,,2005,,0,,100000,0,,sonstige_autos,,3/25/2016 0:00,0,30890,4/1/2016 3:16,
3/28/2016 9:25,Volkswagen_Golf_2.0_Comfortline,privat,Angebot,2300,limousine,2003,manuell,116,golf,150000,4,benzin,volkswagen,nein,3/28/2016 0:00,0,56357,3/29/2016 11:37,
3/6/2016 13:06,Opel_Astra_16V,privat,Angebot,895,limousine,1995,manuell,101,astra,150000,5,benzin,opel,nein,3/6/2016 0:00,0,55127,3/9/2016 6:45,
3/8/2016 22:54,VW_Touran_1.4_TSI_Comfortline__Klima__AHK__7_Sitzer__8fach__ALU,privat,Angebot,13500,bus,2011,manuell,140,touran,90000,7,benzin,volkswagen,nein,3/8/2016 0:00,0,85435,3/14/2016 21:17,
3/16/2016 12:55,Volvo_V70_2.4,privat,Angebot,5490,kombi,2002,manuell,170,v70,150000,9,benzin,volvo,nein,3/16/2016 0:00,0,52072,4/6/2016 9:44,
3/10/2016 15:47,BMW_X5_3.0_d,privat,Angebot,5999,suv,2003,automatik,184,x_reihe,150000,11,diesel,bmw,nein,3/10/2016 0:00,0,85114,3/11/2016 3:17,
3/31/2016 13:52,Volkswagen_6_gti_Motorschaden!!!,privat,Angebot,10900,coupe,2009,manuell,211,golf,125000,10,benzin,volkswagen,ja,3/31/2016 0:00,0,42855,4/4/2016 5:53,
3/16/2016 20:40,Skoda_Octavia_1.8_T_Combi_SLX,privat,Angebot,1085,kombi,1999,manuell,150,octavia,150000,12,benzin,skoda,nein,3/16/2016 0:00,0,48308,3/17/2016 19:18,
3/24/2016 20:00,Opel_vectra_1_6,privat,Angebot,250,limousine,1996,manuell,101,vectra,150000,5,benzin,opel,nein,3/24/2016 0:00,0,47137,3/24/2016 20:39,
3/14/2016 18:58,Honda_Civic_1.4i_S,privat,Angebot,1400,limousine,2001,manuell,90,civic,150000,3,benzin,honda,nein,3/14/2016 0:00,0,66130,4/6/2016 3:17,
3/29/2016 9:56,Mercedes_Benz_230_TE,privat,Angebot,950,kombi,1991,automatik,132,andere,150000,12,benzin,mercedes_benz,nein,3/29/2016 0:00,0,10318,4/1/2016 21:15,
3/18/2016 13:48,Ford_galaxy_2.0_Klima_tuev_2.2017__7sitzer,privat,Angebot,799,bus,1996,manuell,101,galaxy,150000,12,benzin,ford,,3/18/2016 0:00,0,33100,3/18/2016 13:48,
4/1/2016 21:55,Opel_Vectra_2.2_Cosmo,privat,Angebot,1950,limousine,2004,manuell,147,vectra,90000,8,benzin,opel,nein,4/1/2016 0:00,0,39120,4/5/2016 19:46,
3/18/2016 15:51,BMW_318d_DPF_Touring,privat,Angebot,9900,kombi,2010,manuell,143,3er,150000,6,diesel,bmw,nein,3/18/2016 0:00,0,47804,4/5/2016 22:18,
3/10/2016 13:51,Volkswagen_Passat_Variant_2.0_TDI_TueV_bis_August_2017,privat,Angebot,3150,kombi,2004,manuell,136,passat,150000,8,diesel,volkswagen,nein,3/10/2016 0:00,0,96472,3/11/2016 1:46,
3/30/2016 11:57,Mercedes_Benz_190,privat,Angebot,4500,limousine,1987,automatik,102,andere,150000,12,benzin,mercedes_benz,nein,3/30/2016 0:00,0,80637,4/7/2016 3:15,
3/15/2016 12:47,Opel_Astra_Caravan,privat,Angebot,950,kombi,1997,manuell,75,astra,150000,10,benzin,opel,nein,3/15/2016 0:00,0,74382,4/6/2016 1:15,
3/23/2016 7:55,Bmw_E39_530d,privat,Angebot,4200,,2016,automatik,193,5er,5000,10,,bmw,nein,3/23/2016 0:00,0,75181,4/7/2016 8:17,
4/4/2016 13:53,Opel_Astra_F_mit_2_Jahren_TÜV__alles_NEU_,privat,Angebot,1000,kleinwagen,1996,manuell,70,astra,150000,1,benzin,opel,nein,4/4/2016 0:00,0,88260,4/6/2016 15:16,
3/5/2016 14:22,Ford_Transit_Connect__Kurz_,privat,Angebot,3900,bus,2004,manuell,90,transit,125000,2,diesel,ford,nein,3/4/2016 0:00,0,55120,3/15/2016 14:17,
3/7/2016 17:41,Opel_Corsa_1.0_12V_Easytronic_1.Hand_Top_Zustand,privat,Angebot,3300,kleinwagen,2005,automatik,60,corsa,60000,9,benzin,opel,nein,3/7/2016 0:00,0,13509,3/13/2016 2:46,
3/31/2016 22:58,Volkswagen_Passat_Variant_2.0_5V__Euro_4__Tuev_bis_04/2016,privat,Angebot,1450,kombi,2001,manuell,0,passat,150000,0,benzin,volkswagen,,3/31/2016 0:00,0,35606,4/6/2016 16:45,
3/9/2016 9:56,Volkswagen_Bora_1.6_Klima,privat,Angebot,1950,limousine,1999,manuell,101,bora,150000,5,benzin,volkswagen,ja,3/9/2016 0:00,0,83253,3/26/2016 3:17,
